# 20241009_154507
# initdata:	data/init_real_m656_consteps_20240826_143237/init10.csv
# particle mass:	0.656
# NpT:	1000
# pTmax:	10
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,3553.3,0
0.01001,3483.33,0
0.02002,3282.29,0
0.03003,2974.69,0
0.04004,2595.13,0
0.0500501,2181.15,0
0.0600601,1766.76,0
0.0700701,1378.41,0
0.0800801,1033.72,0
0.0900901,742.769,0
0.1001,509.908,0
0.11011,335.154,0
0.12012,214.491,0
0.13013,139.788,0
0.14014,99.2912,0
0.15015,79.5798,0
0.16016,68.6242,0
0.17017,58.5478,0
0.18018,46.7535,0
0.19019,34.6374,0
0.2002,24.8156,0
0.21021,18.5786,0
0.22022,15.0711,0
0.23023,12.3587,0
0.24024,9.18191,0
0.25025,5.83689,0
0.26026,3.54608,0
0.27027,3.05472,0
0.28028,3.82549,0
0.29029,4.55149,0
0.3003,4.4121,0
0.31031,3.79374,0
0.32032,3.76386,0
0.33033,4.86864,0
0.34034,6.49314,0
0.35035,7.48312,0
0.36036,7.35093,0
0.37037,6.7968,0
0.38038,6.95895,0
0.39039,8.17145,0
0.4004,9.56539,0
0.41041,9.97659,0
0.42042,9.18775,0
0.43043,8.17537,0
0.44044,8.05181,0
0.45045,8.86387,0
0.46046,9.56858,0
0.47047,9.21707,0
0.48048,8.02417,0
0.49049,7.12132,0
0.500501,7.27948,0
0.510511,8.0598,0
0.520521,8.35697,0
0.530531,7.69104,0
0.540541,6.75497,0
0.550551,6.55425,0
0.560561,7.22511,0
0.570571,7.87888,0
0.580581,7.65585,0
0.590591,6.73982,0
0.600601,6.09064,0
0.610611,6.26903,0
0.620621,6.77754,0
0.630631,6.70082,0
0.640641,5.83195,0
0.650651,4.90705,0
0.660661,4.68155,0
0.670671,5.02658,0
0.680681,5.14838,0
0.690691,4.61641,0
0.700701,3.88847,0
0.710711,3.69573,0
0.720721,4.10426,0
0.730731,4.45005,0
0.740741,4.19875,0
0.750751,3.60413,0
0.760761,3.33558,0
0.770771,3.59252,0
0.780781,3.86249,0
0.790791,3.61016,0
0.800801,2.96946,0
0.810811,2.54555,0
0.820821,2.62082,0
0.830831,2.82261,0
0.840841,2.66173,0
0.850851,2.19219,0
0.860861,1.91603,0
0.870871,2.09349,0
0.880881,2.40049,0
0.890891,2.37646,0
0.900901,2.03329,0
0.910911,1.80605,0
0.920921,1.94027,0
0.930931,2.16302,0
0.940941,2.06891,0
0.950951,1.67171,0
0.960961,1.3707,0
0.970971,1.40364,0
0.980981,1.54876,0
0.990991,1.4651,0
1.001,1.17373,0
1.01101,1.01358,0
1.02102,1.15666,0
1.03103,1.37045,0
1.04104,1.34694,0
1.05105,1.12161,0
1.06106,1.00077,0
1.07107,1.11856,0
1.08108,1.25379,0
1.09109,1.15063,0
1.1011,0.877103,0
1.11111,0.721829,0
1.12112,0.792538,0
1.13113,0.887159,0
1.14114,0.801841,0
1.15115,0.621765,0
1.16116,0.586317,0
1.17117,0.738037,0
1.18118,0.861936,0
1.19119,0.79084,0
1.2012,0.631796,0
1.21121,0.59756,0
1.22122,0.69873,0
1.23123,0.738464,0
1.24124,0.603904,0
1.25125,0.427343,0
1.26126,0.393586,0
1.27127,0.48271,0
1.28128,0.516233,0
1.29129,0.424899,0
1.3013,0.343096,0
1.31131,0.40152,0
1.32132,0.530092,0
1.33133,0.557056,0
1.34134,0.452572,0
1.35135,0.361938,0
1.36136,0.389254,0
1.37137,0.452444,0
1.38138,0.41439,0
1.39139,0.288058,0
1.4014,0.215713,0
1.41141,0.261878,0
1.42142,0.327702,0
1.43143,0.304879,0
1.44144,0.233922,0
1.45145,0.235223,0
1.46146,0.32285,0
1.47147,0.379502,0
1.48148,0.32596,0
1.49149,0.232391,0
1.5015,0.211665,0
1.51151,0.257874,0
1.52152,0.266087,0
1.53153,0.195317,0
1.54154,0.129283,0
1.55155,0.149828,0
1.56156,0.216916,0
1.57157,0.231828,0
1.58158,0.183519,0
1.59159,0.15892,0
1.6016,0.206648,0
1.61161,0.261161,0
1.62162,0.238815,0
1.63163,0.159943,0
1.64164,0.11696,0
1.65165,0.140715,0
1.66166,0.164273,0
1.67167,0.131497,0
1.68168,0.0825752,0
1.69169,0.0902842,0
1.7017,0.147926,0
1.71171,0.178501,0
1.72172,0.148358,0
1.73173,0.113269,0
1.74174,0.130482,0
1.75175,0.171869,0
1.76176,0.167426,0
1.77177,0.110599,0
1.78178,0.0673096,0
1.79179,0.0788865,0
1.8018,0.106407,0
1.81181,0.0962346,0
1.82182,0.0629068,0
1.83183,0.064073,0
1.84184,0.109049,0
1.85185,0.141493,0
1.86186,0.121491,0
1.87187,0.0823215,0
1.88188,0.0781162,0
1.89189,0.103824,0
1.9019,0.10709,0
1.91191,0.070241,0
1.92192,0.0369371,0
1.93193,0.0458459,0
1.94194,0.074448,0
1.95195,0.0768087,0
1.96196,0.0544816,0
1.97197,0.051761,0
1.98198,0.0845126,0
1.99199,0.112677,0
