# 20240806_151611
# initdata:	data/init_dummy/init_dummy.csv
# particle mass:	0.6
# NpT:	1000
# pTmax:	10
# epsabs:	0
# epsrel:	0.001
# integr iter:	10000
pT,abs2Re,abs2Im
0,962366,0
0.01001,949238,0
0.02002,910847,0
0.03003,850078,0
0.04004,771413,0
0.0500501,680454,0
0.0600601,583333,0
0.0700701,486023,0
0.0800801,393700,0
0.0900901,310245,0
0.1001,237998,0
0.11011,177794,0
0.12012,129261,0
0.13013,91262,0
0.14014,62334.3,0
0.15015,40997.4,0
0.16016,25884.1,0
0.17017,15735.5,0
0.18018,9354.02,0
0.19019,5605.88,0
0.2002,3495.96,0
0.21021,2271.84,0
0.22022,1478.96,0
0.23023,923.682,0
0.24024,561.899,0
0.25025,379.923,0
0.26026,329.934,0
0.27027,335.187,0
0.28028,330.868,0
0.29029,293.919,0
0.3003,239.279,0
0.31031,194.9,0
0.32032,179.881,0
0.33033,197.382,0
0.34034,237.31,0
0.35035,280.984,0
0.36036,308.589,0
0.37037,311.676,0
0.38038,303.076,0
0.39039,310.126,0
0.4004,349.947,0
0.41041,408.002,0
0.42042,445.432,0
0.43043,434.103,0
0.44044,385.836,0
0.45045,342.655,0
0.46046,334.686,0
0.47047,349.698,0
0.48048,349.25,0
0.49049,314.57,0
0.500501,270.148,0
0.510511,256.636,0
0.520521,283.653,0
0.530531,318.274,0
0.540541,323.951,0
0.550551,303.899,0
0.560561,296.223,0
0.570571,326.054,0
0.580581,372.807,0
0.590591,393.519,0
0.600601,374.222,0
0.610611,345.723,0
0.620621,344.238,0
0.630631,365.803,0
0.640641,371.696,0
0.650651,337.974,0
0.660661,286.425,0
0.670671,257.87,0
0.680681,262.517,0
0.690691,270.151,0
0.700701,251.746,0
0.710711,217.353,0
0.720721,201.733,0
0.730731,217.902,0
0.740741,240.179,0
0.750751,238.263,0
0.760761,216.301,0
0.770771,205.35,0
0.780781,220.372,0
0.790791,239.867,0
0.800801,234.559,0
0.810811,205.98,0
0.820821,183.296,0
0.830831,184.204,0
0.840841,192.862,0
0.850851,183.998,0
0.860861,158.124,0
0.870871,140.386,0
0.880881,145.619,0
0.890891,158.756,0
0.900901,156.39,0
0.910911,138.675,0
0.920921,127.217,0
0.930931,133.903,0
0.940941,144.377,0
0.950951,138.965,0
0.960961,120.142,0
0.970971,108.368,0
0.980981,113.141,0
0.990991,120.69,0
1.001,114.646,0
1.01101,99.3818,0
1.02102,93.0702,0
1.03103,101.374,0
1.04104,109.659,0
1.05105,104.155,0
1.06106,90.9777,0
1.07107,86.2946,0
1.08108,92.6844,0
1.09109,95.8527,0
1.1011,85.8422,0
1.11111,71.3563,0
1.12112,67.1091,0
1.13113,73.0818,0
1.14114,75.6539,0
1.15115,68.0688,0
1.16116,60.01,0
1.17117,62.7732,0
1.18118,72.3714,0
1.19119,75.0028,0
1.2012,66.7546,0
1.21121,58.5867,0
1.22122,59.8986,0
1.23123,65.0569,0
1.24124,62.4326,0
1.25125,51.5665,0
1.26126,44.006,0
1.27127,46.429,0
1.28128,51.6032,0
1.29129,49.717,0
1.3013,42.743,0
1.31131,40.9769,0
1.32132,47.3007,0
1.33133,52.6239,0
1.34134,49.2391,0
1.35135,41.6221,0
1.36136,39.3586,0
1.37137,43.0562,0
1.38138,44.0625,0
1.39139,37.8311,0
1.4014,30.8451,0
1.41141,30.8393,0
1.42142,35.7318,0
1.43143,37.104,0
1.44144,32.7882,0
1.45145,29.6614,0
1.46146,32.6579,0
1.47147,37.2586,0
1.48148,36.142,0
1.49149,29.9794,0
1.5015,26.2202,0
1.51151,28.0174,0
1.52152,30.0842,0
1.53153,27.2367,0
1.54154,22.3554,0
1.55155,21.9248,0
1.56156,26.1528,0
1.57157,28.7771,0
1.58158,26.3176,0
1.59159,22.9984,0
1.6016,23.9518,0
1.61161,27.2529,0
1.62162,26.9628,0
1.63163,22.134,0
1.64164,18.1777,0
1.65165,18.8477,0
1.66166,20.9498,0
1.67167,19.7811,0
1.68168,16.4,0
1.69169,15.8783,0
1.7017,19.3628,0
1.71171,22.1573,0
1.72172,20.7261,0
1.73173,17.719,0
1.74174,17.6393,0
1.75175,19.9892,0
1.76176,20.1357,0
1.77177,16.5619,0
1.78178,13.2197,0
1.79179,13.6774,0
1.8018,15.957,0
1.81181,15.8423,0
1.82182,13.4067,0
1.83183,12.6623,0
1.84184,15.1373,0
1.85185,17.4332,0
1.86186,16.1735,0
1.87187,13.1114,0
1.88188,12.2079,0
1.89189,13.7368,0
1.9019,14.1568,0
1.91191,11.7743,0
1.92192,9.45485,0
1.93193,10.2317,0
1.94194,12.6922,0
1.95195,13.241,0
1.96196,11.5222,0
1.97197,10.7436,0
1.98198,12.4983,0
1.99199,14.2525,0
2.002,13.0942,0
2.01201,10.1737,0
2.02202,8.927,0
2.03203,9.95563,0
2.04204,10.4708,0
2.05205,8.83222,0
2.06206,7.14623,0
2.07207,7.94005,0
2.08208,10.1894,0
2.09209,10.8538,0
2.1021,9.4022,0
2.11211,8.43398,0
2.12212,9.54923,0
2.13213,10.8092,0
2.14214,9.81036,0
2.15215,7.44979,0
2.16216,6.55555,0
2.17217,7.69987,0
2.18218,8.53738,0
2.19219,7.5485,0
2.2022,6.37791,0
2.21221,7.14446,0
2.22222,9.02892,0
2.23223,9.42372,0
2.24224,7.81191,0
2.25225,6.51514,0
2.26226,6.98725,0
2.27227,7.79463,0
2.28228,6.96193,0
2.29229,5.1563,0
2.3023,4.69326,0
2.31231,5.99318,0
2.32232,7.01293,0
2.33233,6.4196,0
2.34234,5.58253,0
2.35235,6.28319,0
2.36236,7.8175,0
2.37237,7.9774,0
2.38238,6.41019,0
2.39239,5.10241,0
2.4024,5.39722,0
2.41241,6.09261,0
2.42242,5.4824,0
2.43243,4.14195,0
2.44244,3.97977,0
2.45245,5.27249,0
2.46246,6.19409,0
2.47247,5.6082,0
2.48248,4.68112,0
2.49249,5.0067,0
2.5025,6.02931,0
2.51251,5.93673,0
2.52252,4.5229,0
2.53253,3.5114,0
2.54254,3.97337,0
2.55255,4.79595,0
2.56256,4.52968,0
2.57257,3.67992,0
2.58258,3.84683,0
2.59259,5.13287,0
2.6026,5.8814,0
2.61261,5.14469,0
2.62262,4.06693,0
2.63263,4.0727,0
2.64264,4.71439,0
2.65265,4.49914,0
2.66266,3.29133,0
2.67267,2.56858,0
2.68268,3.1542,0
2.69269,3.99736,0
2.7027,3.85942,0
2.71271,3.21067,0
2.72272,3.40882,0
2.73273,4.46038,0
2.74274,4.92824,0
2.75275,4.10763,0
2.76276,3.09076,0
2.77277,3.09839,0
2.78278,3.67096,0
2.79279,3.55293,0
2.8028,2.67939,0
2.81281,2.33962,0
2.82282,3.1133,0
2.83283,3.94414,0
2.84284,3.75379,0
2.85285,3.03562,0
2.86286,3.00102,0
2.87287,3.68491,0
2.88288,3.84202,0
2.89289,2.97331,0
2.9029,2.08763,0
2.91291,2.18445,0
2.92292,2.78508,0
2.93293,2.78683,0
2.94294,2.2305,0
2.95295,2.21187,0
2.96296,3.0617,0
2.97297,3.7713,0
2.98298,3.45522,0
2.99299,2.68477,0
3.003,2.55688,0
3.01301,3.03208,0
3.02302,3.05985,0
3.03303,2.28676,0
3.04304,1.64336,0
3.05305,1.91389,0
3.06306,2.55565,0
3.07307,2.58341,0
3.08308,2.10074,0
3.09309,2.07174,0
3.1031,2.73781,0
3.11311,3.17852,0
3.12312,2.71102,0
3.13313,1.93624,0
3.14314,1.81369,0
3.15315,2.22932,0
3.16316,2.27195,0
3.17317,1.73048,0
3.18318,1.44453,0
3.19319,1.97251,0
3.2032,2.65831,0
3.21321,2.64918,0
3.22322,2.13598,0
3.23323,2.0206,0
3.24324,2.48533,0
3.25325,2.68876,0
3.26326,2.12537,0
3.27327,1.40898,0
3.28328,1.35568,0
3.29329,1.77481,0
3.3033,1.84955,0
3.31331,1.46482,0
3.32332,1.36137,0
3.33333,1.91858,0
3.34334,2.48516,0
3.35335,2.34036,0
3.36336,1.77552,0
3.37337,1.61974,0
3.38338,1.9627,0
3.39339,2.06764,0
3.4034,1.57535,0
3.41341,1.09739,0
3.42342,1.27364,0
