# 20240725_151431
alpha,f0Re,f0Im
0,0.090366,0
0.00157237,0.0903691,0
0.00314474,0.0903726,0
0.00471711,0.0903769,0
0.00628947,0.0903816,0
0.00786184,0.0903869,0
0.00943421,0.0903925,0
0.0110066,0.0903986,0
0.0125789,0.0904052,0
0.0141513,0.0904123,0
0.0157237,0.0904198,0
0.0172961,0.0904279,0
0.0188684,0.0904364,0
0.0204408,0.0904455,0
0.0220132,0.0904552,0
0.0235855,0.0904655,0
0.0251579,0.0904765,0
0.0267303,0.0904881,0
0.0283026,0.0905003,0
0.029875,0.0905131,0
0.0314474,0.0905265,0
0.0330197,0.0905405,0
0.0345921,0.0905551,0
0.0361645,0.0905702,0
0.0377368,0.0905859,0
0.0393092,0.0906022,0
0.0408816,0.0906189,0
0.042454,0.0906362,0
0.0440263,0.0906541,0
0.0455987,0.0906724,0
0.0471711,0.0906912,0
0.0487434,0.0907105,0
0.0503158,0.0907303,0
0.0518882,0.0907506,0
0.0534605,0.0907713,0
0.0550329,0.0907925,0
0.0566053,0.0908141,0
0.0581776,0.0908361,0
0.05975,0.0908586,0
0.0613224,0.0908815,0
0.0628947,0.0909047,0
0.0644671,0.0909284,0
0.0660395,0.0909524,0
0.0676119,0.0909769,0
0.0691842,0.0910016,0
0.0707566,0.0910268,0
0.072329,0.0910523,0
0.0739013,0.0910781,0
0.0754737,0.0911042,0
0.0770461,0.0911306,0
0.0786184,0.0911574,0
0.0801908,0.0911844,0
0.0817632,0.0912118,0
0.0833355,0.0912394,0
0.0849079,0.0912672,0
0.0864803,0.0912954,0
0.0880526,0.0913238,0
0.089625,0.0913528,0
0.0911974,0.0913827,0
0.0927698,0.0914135,0
0.0943421,0.0914451,0
0.0959145,0.0914775,0
0.0974869,0.0915108,0
0.0990592,0.0915448,0
0.100632,0.0915797,0
0.102204,0.0916154,0
0.103776,0.0916518,0
0.105349,0.0916891,0
0.106921,0.0917271,0
0.108493,0.0917659,0
0.110066,0.0918055,0
0.111638,0.0918458,0
0.113211,0.0918869,0
0.114783,0.0919288,0
0.116355,0.0919714,0
0.117928,0.0920147,0
0.1195,0.0920588,0
0.121072,0.0921035,0
0.122645,0.092149,0
0.124217,0.0921952,0
0.125789,0.0922421,0
0.127362,0.0922897,0
0.128934,0.092338,0
0.130507,0.092387,0
