# 20240725_151321
alpha,Dfield0Re,Dfield0Im
0,-0.201668,0
0.00157237,-0.201692,0
0.00314474,-0.201716,0
0.00471711,-0.20174,0
0.00628947,-0.201763,0
0.00786184,-0.201786,0
0.00943421,-0.201809,0
0.0110066,-0.201831,0
0.0125789,-0.201853,0
0.0141513,-0.201874,0
0.0157237,-0.201895,0
0.0172961,-0.201916,0
0.0188684,-0.201936,0
0.0204408,-0.201954,0
0.0220132,-0.201972,0
0.0235855,-0.201989,0
0.0251579,-0.202005,0
0.0267303,-0.202021,0
0.0283026,-0.202037,0
0.029875,-0.202054,0
0.0314474,-0.202071,0
0.0330197,-0.202089,0
0.0345921,-0.202109,0
0.0361645,-0.20213,0
0.0377368,-0.202153,0
0.0393092,-0.202178,0
0.0408816,-0.202204,0
0.042454,-0.202232,0
0.0440263,-0.20226,0
0.0455987,-0.20229,0
0.0471711,-0.202321,0
0.0487434,-0.202352,0
0.0503158,-0.202385,0
0.0518882,-0.202417,0
0.0534605,-0.202451,0
0.0550329,-0.202485,0
0.0566053,-0.202522,0
0.0581776,-0.202559,0
0.05975,-0.202599,0
0.0613224,-0.202639,0
0.0628947,-0.202681,0
0.0644671,-0.202723,0
0.0660395,-0.202767,0
0.0676119,-0.202812,0
0.0691842,-0.202857,0
0.0707566,-0.202903,0
0.072329,-0.202951,0
0.0739013,-0.203,0
0.0754737,-0.203051,0
0.0770461,-0.203103,0
0.0786184,-0.203157,0
0.0801908,-0.203212,0
0.0817632,-0.203268,0
0.0833355,-0.203325,0
0.0849079,-0.203383,0
0.0864803,-0.203441,0
0.0880526,-0.203499,0
0.089625,-0.203558,0
0.0911974,-0.203618,0
0.0927698,-0.203678,0
0.0943421,-0.20374,0
0.0959145,-0.203802,0
0.0974869,-0.203865,0
0.0990592,-0.203928,0
0.100632,-0.203992,0
0.102204,-0.204057,0
0.103776,-0.204122,0
0.105349,-0.204187,0
0.106921,-0.204253,0
0.108493,-0.20432,0
0.110066,-0.204388,0
0.111638,-0.204457,0
0.113211,-0.204526,0
0.114783,-0.204596,0
0.116355,-0.204667,0
0.117928,-0.204739,0
0.1195,-0.204811,0
0.121072,-0.204884,0
0.122645,-0.204957,0
0.124217,-0.205031,0
0.125789,-0.205106,0
0.127362,-0.205182,0
0.128934,-0.205259,0
0.130507,-0.205336,0
0.132079,-0.205415,0
0.133651,-0.205494,0
0.135224,-0.205574,0
0.136796,-0.205655,0
0.138368,-0.205736,0
0.139941,-0.205818,0
0.141513,-0.2059,0
0.143086,-0.205984,0
0.144658,-0.206069,0
0.14623,-0.206154,0
