# 20240725_151451
alpha,Dfield0Re,Dfield0Im
0,-0.142601,0
0.00157237,-0.142614,0
0.00314474,-0.142628,0
0.00471711,-0.142639,0
0.00628947,-0.14265,0
0.00786184,-0.14266,0
0.00943421,-0.14267,0
0.0110066,-0.142679,0
0.0125789,-0.142686,0
0.0141513,-0.142694,0
0.0157237,-0.1427,0
0.0172961,-0.142705,0
0.0188684,-0.14271,0
0.0204408,-0.142712,0
0.0220132,-0.142714,0
0.0235855,-0.142714,0
0.0251579,-0.142712,0
0.0267303,-0.14271,0
0.0283026,-0.142708,0
0.029875,-0.142705,0
0.0314474,-0.142702,0
0.0330197,-0.142698,0
0.0345921,-0.142696,0
0.0361645,-0.142693,0
0.0377368,-0.142691,0
0.0393092,-0.14269,0
0.0408816,-0.142689,0
0.042454,-0.142689,0
0.0440263,-0.142688,0
0.0455987,-0.142688,0
0.0471711,-0.142688,0
0.0487434,-0.142688,0
0.0503158,-0.142688,0
0.0518882,-0.142688,0
0.0534605,-0.142687,0
0.0550329,-0.142687,0
0.0566053,-0.142688,0
0.0581776,-0.142689,0
0.05975,-0.14269,0
0.0613224,-0.142692,0
0.0628947,-0.142694,0
0.0644671,-0.142697,0
0.0660395,-0.142699,0
0.0676119,-0.142702,0
0.0691842,-0.142705,0
0.0707566,-0.142708,0
0.072329,-0.142712,0
0.0739013,-0.142716,0
0.0754737,-0.142721,0
0.0770461,-0.142727,0
0.0786184,-0.142733,0
0.0801908,-0.142739,0
0.0817632,-0.142746,0
0.0833355,-0.142754,0
0.0849079,-0.142762,0
0.0864803,-0.14277,0
0.0880526,-0.142778,0
0.089625,-0.142785,0
0.0911974,-0.142792,0
0.0927698,-0.142799,0
0.0943421,-0.142805,0
0.0959145,-0.14281,0
0.0974869,-0.142815,0
0.0990592,-0.14282,0
0.100632,-0.142824,0
0.102204,-0.142827,0
0.103776,-0.142829,0
0.105349,-0.142831,0
0.106921,-0.142833,0
0.108493,-0.142834,0
0.110066,-0.142834,0
0.111638,-0.142835,0
0.113211,-0.142834,0
0.114783,-0.142834,0
0.116355,-0.142833,0
0.117928,-0.142831,0
0.1195,-0.142829,0
0.121072,-0.142826,0
0.122645,-0.142823,0
0.124217,-0.142819,0
0.125789,-0.142815,0
0.127362,-0.142811,0
0.128934,-0.142806,0
0.130507,-0.142801,0
0.132079,-0.142796,0
0.133651,-0.14279,0
0.135224,-0.142783,0
0.136796,-0.142777,0
0.138368,-0.142769,0
0.139941,-0.142762,0
0.141513,-0.142753,0
0.143086,-0.142745,0
0.144658,-0.142736,0
0.14623,-0.142727,0
0.147803,-0.142718,0
0.149375,-0.142709,0
0.150947,-0.142699,0
0.15252,-0.142689,0
0.154092,-0.142678,0
0.155665,-0.142667,0
0.157237,-0.142655,0
