0;12.6064
0.00157237;12.6072
0.00314474;12.608
0.00471711;12.6088
0.00628947;12.6095
0.00786184;12.6103
0.00943421;12.6111
0.0110066;12.6119
0.0125789;12.6126
0.0141513;12.6134
0.0157237;12.6142
0.0172961;12.615
0.0188684;12.6157
0.0204408;12.6165
0.0220132;12.6172
0.0235855;12.6179
0.0251579;12.6186
0.0267303;12.6193
0.0283026;12.6201
0.029875;12.6209
0.0314474;12.6217
0.0330197;12.6225
0.0345921;12.6235
0.0361645;12.6244
0.0377368;12.6255
0.0393092;12.6266
0.0408816;12.6278
0.042454;12.6291
0.0440263;12.6304
0.0455987;12.6318
0.0471711;12.6332
0.0487434;12.6346
0.0503158;12.6361
0.0518882;12.6376
0.0534605;12.6392
0.0550329;12.6408
0.0566053;12.6424
0.0581776;12.6441
0.05975;12.6459
0.0613224;12.6477
0.0628947;12.6496
0.0644671;12.6515
0.0660395;12.6534
0.0676119;12.6554
0.0691842;12.6574
0.0707566;12.6595
0.072329;12.6616
0.0739013;12.6637
0.0754737;12.6659
0.0770461;12.6682
0.0786184;12.6705
0.0801908;12.6728
0.0817632;12.6752
0.0833355;12.6776
0.0849079;12.6801
0.0864803;12.6826
0.0880526;12.6851
0.089625;12.6876
0.0911974;12.6903
0.0927698;12.6929
0.0943421;12.6956
0.0959145;12.6984
0.0974869;12.7012
0.0990592;12.704
0.100632;12.7069
0.102204;12.7098
0.103776;12.7127
0.105349;12.7157
0.106921;12.7187
0.108493;12.7217
0.110066;12.7248
0.111638;12.728
0.113211;12.7311
0.114783;12.7343
0.116355;12.7376
0.117928;12.7409
0.1195;12.7442
0.121072;12.7475
0.122645;12.7508
0.124217;12.7542
0.125789;12.7577
0.127362;12.7611
0.128934;12.7646
0.130507;12.7682
0.132079;12.7717
0.133651;12.7753
0.135224;12.779
0.136796;12.7826
0.138368;12.7863
0.139941;12.79
0.141513;12.7937
0.143086;12.7974
0.144658;12.8012
0.14623;12.805
0.147803;12.8088
0.149375;12.8127
0.150947;12.8166
0.15252;12.8205
0.154092;12.8244
0.155665;12.8283
0.157237;12.8323
0.158809;12.8362
0.160382;12.8403
0.161954;12.8443
0.163526;12.8484
0.165099;12.8524
0.166671;12.8565
0.168243;12.8606
0.169816;12.8648
0.171388;12.8689
0.172961;12.873
0.174533;12.8772
0.176105;12.8813
0.177678;12.8854
0.17925;12.8896
0.180822;12.8938
0.182395;12.898
0.183967;12.9021
0.18554;12.9063
0.187112;12.9105
0.188684;12.9147
0.190257;12.919
0.191829;12.9232
0.193401;12.9274
0.194974;12.9317
0.196546;12.936
0.198118;12.9403
0.199691;12.9446
0.201263;12.9489
0.202836;12.9532
0.204408;12.9574
0.20598;12.9617
0.207553;12.9658
0.209125;12.97
0.210697;12.974
0.21227;12.9781
0.213842;12.9821
0.215415;12.9861
0.216987;12.99
0.218559;12.994
0.220132;12.998
0.221704;13.0019
0.223276;13.0059
0.224849;13.0099
0.226421;13.014
0.227993;13.0182
0.229566;13.0225
0.231138;13.0268
0.232711;13.0311
0.234283;13.0354
0.235855;13.0396
0.237428;13.0437
0.239;13.0476
0.240572;13.0513
0.242145;13.0549
0.243717;13.0582
0.24529;13.0612
0.246862;13.0641
0.248434;13.0668
0.250007;13.0695
0.251579;13.0722
0.253151;13.0749
0.254724;13.0777
0.256296;13.0806
0.257868;13.0837
0.259441;13.0871
0.261013;13.0911
0.262586;13.096
0.264158;13.1012
0.26573;13.1067
0.267303;13.1121
0.268875;13.1173
0.270447;13.1218
0.27202;13.1256
0.273592;13.1283
0.275165;13.1298
0.276737;13.1298
0.278309;13.1295
0.279882;13.1288
0.281454;13.128
0.283026;13.127
0.284599;13.126
0.286171;13.125
0.287743;13.1241
0.289316;13.1234
0.290888;13.1229
0.292461;13.1227
0.294033;13.1243
0.295605;13.129
0.297178;13.1361
0.29875;13.1448
0.300322;13.1545
0.301895;13.1645
0.303467;13.1741
0.30504;13.1824
0.306612;13.1889
0.308184;13.1928
0.309757;13.1934
0.311329;13.1904
0.312901;13.1845
0.314474;13.1764
0.316046;13.1669
0.317618;13.1566
0.319191;13.1464
0.320763;13.137
0.322336;13.129
0.323908;13.1233
0.32548;13.1206
0.327053;13.1258
0.328625;13.1257
0.330197;13.1254
0.33177;13.125
0.333342;13.1243
0.334915;13.1235
0.336487;13.1224
0.338059;13.1212
0.339632;13.1198
0.341204;13.1182
0.342776;13.1163
0.344349;13.1099
0.345921;13.104
0.347493;13.1047
0.349066;13.1075
0.350638;13.1117
0.352211;13.1168
0.353783;13.122
0.355355;13.1268
0.356928;13.1306
0.3585;13.1327
0.360072;13.1329
0.361645;13.1327
0.363217;13.1324
0.36479;13.1318
0.366362;13.1311
0.367934;13.1302
0.369507;13.1291
0.371079;13.1279
0.372651;13.1265
0.374224;13.125
0.375796;13.1233
0.377368;13.1163
0.378941;13.0991
0.380513;13.074
0.382086;13.0434
0.383658;13.0098
0.38523;12.9753
0.386803;12.9425
0.388375;12.9138
0.389947;12.8914
0.39152;12.8777
0.393092;12.8757
0.394665;12.8924
0.396237;12.9227
0.397809;12.9582
0.399382;12.99
0.400954;13.0095
0.402526;13.0081
0.404099;12.984
0.405671;12.9461
0.407243;12.904
0.408816;12.8671
0.410388;12.8399
0.411961;12.8351
0.413533;12.8409
0.415105;12.8491
0.416678;12.8566
0.41825;12.86
0.419822;12.8574
0.421395;12.8498
0.422967;12.8386
0.42454;12.8254
0.426112;12.8117
0.427684;12.796
0.429257;12.7738
0.430829;12.7468
0.432401;12.7166
0.433974;12.6849
0.435546;12.6534
0.437118;12.6238
0.438691;12.5977
0.440263;12.5769
0.441836;12.5629
0.443408;12.5576
0.44498;12.5626
0.446553;12.575
0.448125;12.589
0.449697;12.5989
0.45127;12.5986
0.452842;12.5838
0.454415;12.558
0.455987;12.5252
0.457559;12.4895
0.459132;12.4551
0.460704;12.4262
0.462276;12.3972
0.463849;12.3782
0.465421;12.3818
0.466994;12.3903
0.468566;12.3965
0.470138;12.387
0.471711;12.3497
0.473283;12.2968
0.474855;12.2413
0.476428;12.196
0.478;12.1738
0.479572;12.1752
0.481145;12.1819
0.482717;12.1919
0.48429;12.2042
0.485862;12.2172
0.487434;12.2298
0.489007;12.2405
0.490579;12.2482
0.492151;12.2513
0.493724;12.1789
0.495296;12.035
0.496869;11.9544
0.498441;11.9369
0.500013;11.9374
0.501586;11.9378
0.503158;11.934
0.50473;11.9145
0.506303;11.8892
0.507875;11.8676
0.509447;11.8451
0.51102;11.8221
0.512592;11.8004
0.514165;11.7817
0.515737;11.7671
0.517309;11.7557
0.518882;11.7456
0.520454;11.7351
0.522026;11.7226
0.523599;11.7063
0.525171;11.6817
0.526744;11.6309
0.528316;11.5623
0.529888;11.4893
0.531461;11.4254
0.533033;11.3836
0.534605;11.3604
0.536178;11.3469
0.53775;11.3341
0.539322;11.3193
0.540895;11.3008
0.542467;11.275
0.54404;11.2423
0.545612;11.2048
0.547184;11.1647
0.548757;11.124
0.550329;11.085
0.551901;11.0497
0.553474;11.0152
0.555046;10.9856
0.556619;10.9677
0.558191;10.9541
0.559763;10.9366
0.561336;10.9139
0.562908;10.8935
0.56448;10.8783
0.566053;10.863
0.567625;10.8408
0.569197;10.809
0.57077;10.7735
0.572342;10.7405
0.573915;10.7091
0.575487;10.6782
0.577059;10.6471
0.578632;10.6147
0.580204;10.5804
0.581776;10.5433
0.583349;10.5025
0.584921;10.4528
0.586494;10.3945
0.588066;10.3327
0.589638;10.2724
0.591211;10.2188
0.592783;10.175
0.594355;10.1356
0.595928;10.1021
0.5975;10.0771
0.599072;10.0574
0.600645;10.027
0.602217;9.99905
0.60379;9.98598
0.605362;9.97047
0.606934;9.93384
0.608507;9.87719
0.610079;9.80787
0.611651;9.73325
0.613224;9.66069
0.614796;9.60643
0.616369;9.57636
0.617941;9.55406
