0.0175638;12.6151
0.0351183;12.6238
0.0526539;12.6384
0.0701616;12.6587
0.0876328;12.6844
0.105059;12.7152
0.122434;12.7504
0.13975;12.7895
0.157002;12.8317
0.174186;12.8763
0.191299;12.9218
0.20834;12.9679
0.225309;13.0111
0.242209;13.055
0.259043;13.0862
0.275819;13.1299
0.292544;13.1227
0.30923;13.1936
0.32589;13.1205
0.326996;13.1258
0.34254;13.1167
0.346197;13.1039
0.359198;13.133
0.375887;13.1232
0.392631;12.8747
0.401675;13.012
0.409457;12.8558
0.411077;12.834
0.418348;12.8601
0.426395;12.8093
0.443482;12.5576
0.450516;12.6005
0.460756;12.4254
0.46399;12.3781
0.468959;12.3968
0.478262;12.1733
0.492279;12.2513
0.496052;11.9878
0.49771;11.9368
0.502229;11.9379
0.506992;11.8794
0.514187;11.7814
0.524468;11.6951
0.53274;11.3894
0.534508;11.3614
0.537464;11.3367
0.540784;11.3024
0.551799;11.0519
0.555308;10.9819
0.559091;10.945
0.562574;10.8972
0.566799;10.8538
0.571477;10.7583
0.583225;10.5059
0.59192;10.1981
0.596732;10.0879
0.599118;10.0567
0.602197;9.9993
0.605152;9.97345
0.61332;9.6565
0.613901;9.62934
0.621025;9.50965
0.624034;9.4507
0.626903;9.39591
0.629582;9.35315
0.635941;9.13713
0.642619;8.90574
0.645117;8.85894
0.64814;8.79668
0.650371;8.74559
0.653052;8.70664
0.660167;8.3775
0.66184;8.30444
0.666081;8.2214
0.668629;8.15942
0.67111;8.10029
0.673581;8.05125
0.680096;7.82641
0.68329;7.88389
0.686598;7.58994
0.688166;7.47658
0.690527;7.47748
0.696909;7.26588
0.700263;7.1905
0.702517;7.13033
0.704655;7.07191
0.706786;7.02351
0.716257;6.57608
0.717435;6.53562
0.719978;6.46655
0.721723;6.41547
0.723752;6.35881
0.728799;6.21149
0.733873;6.06484
0.73599;6.00156
0.738218;5.93654
0.740321;5.87198
0.742417;5.81677
0.751179;5.37913
0.753394;5.29029
0.756107;5.20962
0.757813;5.15456
0.759828;5.09205
0.764844;4.93158
0.768227;4.82337
0.770676;4.7443
0.772198;4.69497
0.773949;4.63804
0.775697;4.58101
0.782653;4.35241
0.784266;4.2986
0.786307;4.23104
0.787873;4.17818
0.789766;4.11747
0.796827;3.77872
0.801923;3.54336
0.803955;3.47727
0.806236;3.39857
0.80779;3.34565
0.809631;3.28231
0.814219;3.12486
0.818289;2.98418
0.821556;2.87122
0.823066;2.81889
0.824848;2.75707
0.829292;2.60266
0.833703;2.44908
0.836065;2.36676
0.837945;2.30119
0.839808;2.23621
0.844764;2.0633
0.84852;1.93225
0.849956;1.8822
0.851541;1.82693
0.855498;1.68913
0.859538;1.54864
0.861299;1.4875
0.863137;1.42378
0.864824;1.36538
0.866509;1.3071
0.873237;1.07537
0.875664;0.992204
0.87808;0.909707
0.87952;0.860703
0.881195;0.803806
0.885379;0.662392
0.889942;0.509369
0.892382;0.42819
0.894152;0.369624
0.895801;0.315248
0.89745;0.261122
0.904039;0.0473053
0.90838;-0.0912508
0.910477;-0.157395
0.912246;-0.212806
0.913628;-0.255844
0.915011;-0.298642
