# 20240725_151600
alpha,field0Re,field0Im
0,0.121239,0
0.00157237,0.12124,0
0.00314474,0.121242,0
0.00471711,0.121244,0
0.00628947,0.121246,0
0.00786184,0.121248,0
0.00943421,0.121251,0
0.0110066,0.121253,0
0.0125789,0.121256,0
0.0141513,0.121259,0
0.0157237,0.121263,0
0.0172961,0.121266,0
0.0188684,0.12127,0
0.0204408,0.121274,0
0.0220132,0.121279,0
0.0235855,0.121283,0
0.0251579,0.121288,0
0.0267303,0.121293,0
0.0283026,0.121299,0
0.029875,0.121304,0
0.0314474,0.12131,0
0.0330197,0.121317,0
0.0345921,0.121323,0
0.0361645,0.12133,0
0.0377368,0.121337,0
0.0393092,0.121344,0
0.0408816,0.121351,0
0.042454,0.121359,0
0.0440263,0.121367,0
0.0455987,0.121375,0
0.0471711,0.121383,0
0.0487434,0.121392,0
0.0503158,0.1214,0
0.0518882,0.121409,0
0.0534605,0.121418,0
0.0550329,0.121428,0
0.0566053,0.121437,0
0.0581776,0.121447,0
0.05975,0.121457,0
0.0613224,0.121466,0
0.0628947,0.121477,0
0.0644671,0.121487,0
0.0660395,0.121497,0
0.0676119,0.121508,0
0.0691842,0.121518,0
0.0707566,0.121529,0
0.072329,0.12154,0
0.0739013,0.121551,0
0.0754737,0.121562,0
0.0770461,0.121573,0
0.0786184,0.121585,0
0.0801908,0.121596,0
0.0817632,0.121608,0
0.0833355,0.12162,0
0.0849079,0.121632,0
0.0864803,0.121645,0
0.0880526,0.121658,0
0.089625,0.121672,0
0.0911974,0.121685,0
0.0927698,0.1217,0
0.0943421,0.121714,0
0.0959145,0.121729,0
0.0974869,0.121744,0
0.0990592,0.121759,0
0.100632,0.121775,0
0.102204,0.121791,0
0.103776,0.121807,0
0.105349,0.121824,0
0.106921,0.121841,0
0.108493,0.121858,0
0.110066,0.121875,0
0.111638,0.121893,0
0.113211,0.121911,0
0.114783,0.121929,0
0.116355,0.121948,0
0.117928,0.121967,0
0.1195,0.121986,0
0.121072,0.122005,0
0.122645,0.122025,0
0.124217,0.122045,0
0.125789,0.122065,0
0.127362,0.122085,0
0.128934,0.122105,0
0.130507,0.122126,0
0.132079,0.122147,0
0.133651,0.122168,0
0.135224,0.12219,0
