# 20240725_151255
alpha,Dfield0Re,Dfield0Im
0,-0.213901,0
0.00157237,-0.213928,0
0.00314474,-0.213955,0
0.00471711,-0.213982,0
0.00628947,-0.214008,0
0.00786184,-0.214035,0
0.00943421,-0.214061,0
0.0110066,-0.214087,0
0.0125789,-0.214112,0
0.0141513,-0.214138,0
0.0157237,-0.214163,0
0.0172961,-0.214189,0
0.0188684,-0.214213,0
0.0204408,-0.214236,0
0.0220132,-0.214259,0
0.0235855,-0.214281,0
0.0251579,-0.214302,0
0.0267303,-0.214324,0
0.0283026,-0.214346,0
0.029875,-0.214369,0
0.0314474,-0.214392,0
0.0330197,-0.214417,0
0.0345921,-0.214444,0
0.0361645,-0.214472,0
0.0377368,-0.214503,0
0.0393092,-0.214536,0
0.0408816,-0.21457,0
0.042454,-0.214606,0
0.0440263,-0.214644,0
0.0455987,-0.214683,0
0.0471711,-0.214723,0
0.0487434,-0.214764,0
0.0503158,-0.214806,0
0.0518882,-0.214849,0
0.0534605,-0.214893,0
0.0550329,-0.214938,0
0.0566053,-0.214985,0
0.0581776,-0.215034,0
0.05975,-0.215085,0
0.0613224,-0.215137,0
0.0628947,-0.215191,0
0.0644671,-0.215245,0
0.0660395,-0.215301,0
0.0676119,-0.215359,0
0.0691842,-0.215417,0
0.0707566,-0.215476,0
0.072329,-0.215537,0
0.0739013,-0.2156,0
0.0754737,-0.215664,0
0.0770461,-0.21573,0
0.0786184,-0.215798,0
0.0801908,-0.215867,0
0.0817632,-0.215938,0
0.0833355,-0.216009,0
0.0849079,-0.216081,0
0.0864803,-0.216154,0
0.0880526,-0.216228,0
0.089625,-0.216303,0
0.0911974,-0.216379,0
0.0927698,-0.216457,0
0.0943421,-0.216536,0
0.0959145,-0.216616,0
0.0974869,-0.216697,0
0.0990592,-0.216779,0
0.100632,-0.216862,0
0.102204,-0.216947,0
0.103776,-0.217032,0
0.105349,-0.217117,0
0.106921,-0.217204,0
0.108493,-0.217293,0
0.110066,-0.217382,0
0.111638,-0.217473,0
0.113211,-0.217566,0
0.114783,-0.217659,0
0.116355,-0.217753,0
0.117928,-0.217849,0
0.1195,-0.217945,0
0.121072,-0.218043,0
0.122645,-0.218141,0
0.124217,-0.21824,0
0.125789,-0.218341,0
0.127362,-0.218443,0
0.128934,-0.218547,0
0.130507,-0.218651,0
0.132079,-0.218757,0
0.133651,-0.218864,0
0.135224,-0.218972,0
0.136796,-0.219081,0
0.138368,-0.219191,0
0.139941,-0.219302,0
0.141513,-0.219414,0
0.143086,-0.219527,0
0.144658,-0.219642,0
0.14623,-0.219758,0
0.147803,-0.219875,0
0.149375,-0.219994,0
0.150947,-0.220113,0
0.15252,-0.220234,0
0.154092,-0.220356,0
0.155665,-0.220479,0
0.157237,-0.220602,0
0.158809,-0.220727,0
0.160382,-0.220854,0
0.161954,-0.220982,0
0.163526,-0.221111,0
0.165099,-0.221241,0
0.166671,-0.221373,0
0.168243,-0.221505,0
0.169816,-0.221639,0
0.171388,-0.221774,0
0.172961,-0.22191,0
0.174533,-0.222046,0
0.176105,-0.222184,0
0.177678,-0.222323,0
0.17925,-0.222464,0
0.180822,-0.222606,0
0.182395,-0.222749,0
0.183967,-0.222894,0
0.18554,-0.223039,0
0.187112,-0.223186,0
0.188684,-0.223334,0
0.190257,-0.223483,0
0.191829,-0.223633,0
0.193401,-0.223784,0
0.194974,-0.223937,0
0.196546,-0.224092,0
0.198118,-0.224248,0
0.199691,-0.224405,0
0.201263,-0.224563,0
0.202836,-0.224723,0
0.204408,-0.224883,0
0.20598,-0.225044,0
0.207553,-0.225206,0
0.209125,-0.225369,0
0.210697,-0.225533,0
0.21227,-0.225697,0
0.213842,-0.225862,0
0.215415,-0.226027,0
0.216987,-0.226191,0
0.218559,-0.226356,0
0.220132,-0.226521,0
0.221704,-0.226686,0
0.223276,-0.226851,0
0.224849,-0.227016,0
0.226421,-0.227182,0
0.227993,-0.227348,0
0.229566,-0.227515,0
0.231138,-0.227683,0
0.232711,-0.227851,0
0.234283,-0.228018,0
0.235855,-0.228185,0
0.237428,-0.228351,0
0.239,-0.228516,0
0.240572,-0.228679,0
0.242145,-0.228841,0
0.243717,-0.229002,0
0.24529,-0.229164,0
0.246862,-0.229327,0
0.248434,-0.22949,0
0.250007,-0.229654,0
0.251579,-0.229818,0
0.253151,-0.229982,0
0.254724,-0.230146,0
0.256296,-0.23031,0
0.257868,-0.230473,0
0.259441,-0.230636,0
0.261013,-0.230805,0
0.262586,-0.230981,0
0.264158,-0.231161,0
0.26573,-0.231342,0
0.267303,-0.231522,0
0.268875,-0.231698,0
0.270447,-0.231867,0
0.27202,-0.232027,0
0.273592,-0.232175,0
0.275165,-0.232308,0
0.276737,-0.232433,0
0.278309,-0.232581,0
0.279882,-0.23275,0
0.281454,-0.232933,0
0.283026,-0.233125,0
0.284599,-0.233318,0
0.286171,-0.233505,0
0.287743,-0.23368,0
0.289316,-0.233833,0
0.290888,-0.233959,0
0.292461,-0.234049,0
0.294033,-0.234139,0
0.295605,-0.234272,0
0.297178,-0.234436,0
0.29875,-0.234624,0
0.300322,-0.234825,0
0.301895,-0.235028,0
0.303467,-0.235224,0
0.30504,-0.235404,0
0.306612,-0.235558,0
0.308184,-0.235675,0
0.309757,-0.235753,0
0.311329,-0.235861,0
0.312901,-0.236014,0
0.314474,-0.236201,0
0.316046,-0.236409,0
0.317618,-0.236627,0
0.319191,-0.236843,0
0.320763,-0.237042,0
0.322336,-0.237213,0
0.323908,-0.23734,0
0.32548,-0.237411,0
0.327053,-0.23752,0
0.328625,-0.237562,0
0.330197,-0.237643,0
0.33177,-0.237756,0
0.333342,-0.237897,0
0.334915,-0.23806,0
0.336487,-0.238237,0
0.338059,-0.238423,0
0.339632,-0.238612,0
0.341204,-0.238797,0
0.342776,-0.238973,0
