# 20240725_151255
alpha,f0Re,f0Im
0,0.0404129,0
0.00157237,0.040417,0
0.00314474,0.0404217,0
0.00471711,0.0404274,0
0.00628947,0.0404339,0
0.00786184,0.0404409,0
0.00943421,0.0404485,0
0.0110066,0.0404568,0
0.0125789,0.0404656,0
0.0141513,0.0404751,0
0.0157237,0.0404852,0
0.0172961,0.040496,0
0.0188684,0.0405074,0
0.0204408,0.0405195,0
0.0220132,0.0405324,0
0.0235855,0.0405462,0
0.0251579,0.0405609,0
0.0267303,0.0405764,0
0.0283026,0.0405927,0
0.029875,0.0406099,0
0.0314474,0.0406278,0
0.0330197,0.0406465,0
0.0345921,0.040666,0
0.0361645,0.0406862,0
0.0377368,0.0407071,0
0.0393092,0.0407288,0
0.0408816,0.0407512,0
0.042454,0.0407743,0
0.0440263,0.040798,0
0.0455987,0.0408224,0
0.0471711,0.0408475,0
0.0487434,0.0408732,0
0.0503158,0.0408995,0
0.0518882,0.0409264,0
0.0534605,0.0409539,0
0.0550329,0.040982,0
0.0566053,0.0410107,0
0.0581776,0.0410399,0
0.05975,0.0410696,0
0.0613224,0.0410999,0
0.0628947,0.0411306,0
0.0644671,0.0411619,0
0.0660395,0.0411936,0
0.0676119,0.0412258,0
0.0691842,0.0412584,0
0.0707566,0.0412915,0
0.072329,0.041325,0
0.0739013,0.0413589,0
0.0754737,0.0413931,0
0.0770461,0.0414278,0
0.0786184,0.0414628,0
0.0801908,0.0414982,0
0.0817632,0.0415344,0
0.0833355,0.0415716,0
0.0849079,0.0416099,0
0.0864803,0.0416493,0
0.0880526,0.0416896,0
0.089625,0.041731,0
0.0911974,0.0417734,0
0.0927698,0.0418168,0
0.0943421,0.0418612,0
0.0959145,0.0419066,0
0.0974869,0.041953,0
0.0990592,0.0420003,0
0.100632,0.0420486,0
0.102204,0.0420979,0
0.103776,0.0421482,0
0.105349,0.0421993,0
0.106921,0.0422515,0
0.108493,0.0423045,0
0.110066,0.0423585,0
0.111638,0.0424134,0
0.113211,0.0424692,0
0.114783,0.0425259,0
0.116355,0.0425835,0
0.117928,0.042642,0
0.1195,0.0427013,0
0.121072,0.0427616,0
0.122645,0.0428227,0
0.124217,0.0428846,0
0.125789,0.0429474,0
0.127362,0.0430111,0
0.128934,0.0430756,0
0.130507,0.0431409,0
0.132079,0.043207,0
0.133651,0.0432739,0
0.135224,0.0433417,0
0.136796,0.0434102,0
0.138368,0.0434796,0
0.139941,0.0435497,0
0.141513,0.0436206,0
0.143086,0.0436922,0
0.144658,0.0437647,0
0.14623,0.0438378,0
0.147803,0.0439118,0
0.149375,0.0439864,0
0.150947,0.0440618,0
0.15252,0.0441379,0
0.154092,0.0442148,0
0.155665,0.0442923,0
0.157237,0.0443705,0
0.158809,0.0444495,0
0.160382,0.0445291,0
0.161954,0.0446094,0
0.163526,0.0446904,0
0.165099,0.044772,0
0.166671,0.0448543,0
0.168243,0.0449372,0
0.169816,0.0450208,0
0.171388,0.045105,0
0.172961,0.0451898,0
0.174533,0.0452753,0
0.176105,0.0453614,0
0.177678,0.045448,0
0.17925,0.0455353,0
0.180822,0.0456232,0
0.182395,0.0457116,0
0.183967,0.0458006,0
0.18554,0.0458902,0
0.187112,0.0459804,0
0.188684,0.0460711,0
0.190257,0.0461623,0
0.191829,0.0462541,0
0.193401,0.0463464,0
0.194974,0.0464392,0
0.196546,0.0465326,0
0.198118,0.0466264,0
0.199691,0.0467208,0
0.201263,0.0468156,0
0.202836,0.046911,0
0.204408,0.0470068,0
0.20598,0.0471031,0
0.207553,0.0471998,0
0.209125,0.047297,0
0.210697,0.0473947,0
0.21227,0.0474936,0
0.213842,0.0475943,0
0.215415,0.0476966,0
0.216987,0.0478005,0
0.218559,0.0479061,0
0.220132,0.0480134,0
0.221704,0.0481222,0
0.223276,0.0482327,0
0.224849,0.0483447,0
0.226421,0.0484584,0
0.227993,0.0485736,0
0.229566,0.0486904,0
0.231138,0.0488087,0
0.232711,0.0489286,0
0.234283,0.0490499,0
0.235855,0.0491728,0
0.237428,0.0492972,0
0.239,0.0494231,0
0.240572,0.0495505,0
0.242145,0.0496793,0
0.243717,0.0498096,0
0.24529,0.0499414,0
0.246862,0.0500745,0
0.248434,0.0502091,0
0.250007,0.0503451,0
0.251579,0.0504825,0
0.253151,0.0506213,0
0.254724,0.0507614,0
0.256296,0.0509029,0
0.257868,0.0510458,0
0.259441,0.05119,0
0.261013,0.0513355,0
0.262586,0.0514823,0
0.264158,0.0516304,0
0.26573,0.0517799,0
0.267303,0.0519306,0
0.268875,0.0520825,0
0.270447,0.0522357,0
0.27202,0.0523902,0
0.273592,0.0525459,0
0.275165,0.0527028,0
0.276737,0.0528609,0
0.278309,0.0530202,0
0.279882,0.0531807,0
0.281454,0.0533424,0
0.283026,0.0535052,0
0.284599,0.0536692,0
0.286171,0.0538343,0
0.287743,0.0540006,0
0.289316,0.0541679,0
0.290888,0.0543363,0
0.292461,0.0545059,0
0.294033,0.0546765,0
0.295605,0.0548481,0
0.297178,0.0550209,0
0.29875,0.0551946,0
0.300322,0.0553695,0
0.301895,0.0555453,0
0.303467,0.0557221,0
0.30504,0.0558998,0
0.306612,0.0560787,0
0.308184,0.0562585,0
0.309757,0.0564392,0
0.311329,0.0566209,0
0.312901,0.0568035,0
0.314474,0.0569871,0
0.316046,0.0571715,0
0.317618,0.057357,0
0.319191,0.0575431,0
0.320763,0.0577303,0
0.322336,0.0579181,0
0.323908,0.0581071,0
0.32548,0.0582968,0
0.327053,0.0584873,0
0.328625,0.0586786,0
0.330197,0.0588708,0
0.33177,0.0590637,0
0.333342,0.0592574,0
0.334915,0.0594517,0
0.336487,0.0596471,0
0.338059,0.0598431,0
0.339632,0.0600398,0
0.341204,0.0602372,0
0.342776,0.0604354,0
0.344349,0.0606342,0
0.345921,0.0608338,0
0.347493,0.0610341,0
0.349066,0.0612349,0
0.350638,0.0614364,0
0.352211,0.0616385,0
0.353783,0.0618414,0
0.355355,0.0620448,0
0.356928,0.0622488,0
0.3585,0.0624535,0
0.360072,0.0626588,0
0.361645,0.0628644,0
0.363217,0.0630708,0
0.36479,0.0632775,0
0.366362,0.063485,0
0.367934,0.063693,0
0.369507,0.0639014,0
0.371079,0.0641104,0
0.372651,0.0643198,0
0.374224,0.0645297,0
0.375796,0.0647401,0
0.377368,0.064951,0
0.378941,0.0651622,0
0.380513,0.0653739,0
0.382086,0.0655859,0
0.383658,0.0657985,0
0.38523,0.0660114,0
0.386803,0.0662247,0
0.388375,0.0664383,0
0.389947,0.0666524,0
0.39152,0.0668667,0
0.393092,0.0670814,0
0.394665,0.0672963,0
0.396237,0.0675117,0
0.397809,0.0677273,0
0.399382,0.0679432,0
0.400954,0.0681597,0
0.402526,0.0683789,0
0.404099,0.068601,0
0.405671,0.0688263,0
0.407243,0.0690546,0
0.408816,0.0692856,0
0.410388,0.0695195,0
0.411961,0.0697561,0
0.413533,0.0699956,0
0.415105,0.0702378,0
0.416678,0.0704824,0
0.41825,0.0707295,0
0.419822,0.0709793,0
0.421395,0.0712312,0
0.422967,0.0714855,0
0.42454,0.0717421,0
0.426112,0.072001,0
0.427684,0.072262,0
0.429257,0.0725249,0
0.430829,0.0727901,0
0.432401,0.0730572,0
0.433974,0.073326,0
0.435546,0.0735967,0
0.437118,0.0738693,0
0.438691,0.0741433,0
0.440263,0.0744191,0
0.441836,0.0746964,0
0.443408,0.0749754,0
0.44498,0.0752558,0
0.446553,0.0755375,0
0.448125,0.0758205,0
0.449697,0.0761049,0
0.45127,0.0763903,0
0.452842,0.0766769,0
0.454415,0.0769644,0
0.455987,0.0772532,0
0.457559,0.0775429,0
0.459132,0.0778332,0
0.460704,0.0781246,0
0.462276,0.0784167,0
0.463849,0.0787093,0
0.465421,0.0790027,0
0.466994,0.0792965,0
0.468566,0.079591,0
0.470138,0.0798858,0
0.471711,0.0801809,0
0.473283,0.0804765,0
0.474855,0.0807724,0
0.476428,0.0810681,0
0.478,0.0813642,0
0.479572,0.0816604,0
0.481145,0.0819564,0
0.482717,0.0822524,0
0.48429,0.0825481,0
0.485862,0.0828439,0
0.487434,0.0831394,0
0.489007,0.0834342,0
0.490579,0.083729,0
0.492151,0.0840233,0
0.493724,0.0843169,0
0.495296,0.08461,0
0.496869,0.0849024,0
0.498441,0.0851943,0
0.500013,0.0854853,0
0.501586,0.0857762,0
0.503158,0.0860688,0
0.50473,0.0863629,0
0.506303,0.0866581,0
0.507875,0.0869549,0
0.509447,0.0872531,0
0.51102,0.0875523,0
0.512592,0.0878528,0
0.514165,0.0881544,0
0.515737,0.0884572,0
0.517309,0.0887611,0
0.518882,0.0890657,0
0.520454,0.0893715,0
0.522026,0.0896782,0
0.523599,0.0899854,0
0.525171,0.0902937,0
0.526744,0.0906025,0
0.528316,0.0909121,0
0.529888,0.0912224,0
0.531461,0.0915329,0
0.533033,0.0918441,0
0.534605,0.0921559,0
0.536178,0.0924677,0
0.53775,0.0927802,0
0.539322,0.0930929,0
0.540895,0.0934057,0
0.542467,0.0937187,0
0.54404,0.0940317,0
0.545612,0.0943451,0
0.547184,0.0946584,0
0.548757,0.0949714,0
0.550329,0.0952845,0
0.551901,0.0955976,0
0.553474,0.0959102,0
0.555046,0.0962226,0
0.556619,0.0965347,0
0.558191,0.0968465,0
0.559763,0.097158,0
0.561336,0.0974686,0
0.562908,0.0977791,0
0.56448,0.0980889,0
0.566053,0.0983979,0
0.567625,0.0987063,0
0.569197,0.0990141,0
0.57077,0.0993209,0
0.572342,0.0996269,0
0.573915,0.0999319,0
0.575487,0.100236,0
0.577059,0.100539,0
0.578632,0.100841,0
0.580204,0.101142,0
0.581776,0.101442,0
0.583349,0.101741,0
0.584921,0.102041,0
0.586494,0.102342,0
0.588066,0.102642,0
0.589638,0.102943,0
0.591211,0.103243,0
0.592783,0.103544,0
0.594355,0.103844,0
0.595928,0.104144,0
0.5975,0.104444,0
0.599072,0.104743,0
0.600645,0.105042,0
0.602217,0.10534,0
0.60379,0.105637,0
0.605362,0.105933,0
0.606934,0.106229,0
0.608507,0.106523,0
0.610079,0.106816,0
0.611651,0.107108,0
0.613224,0.107399,0
0.614796,0.107688,0
0.616369,0.107976,0
0.617941,0.108262,0
0.619513,0.108546,0
0.621086,0.108829,0
0.622658,0.10911,0
0.62423,0.109388,0
0.625803,0.109665,0
0.627375,0.109939,0
0.628947,0.110213,0
0.63052,0.110487,0
0.632092,0.11076,0
0.633665,0.111032,0
0.635237,0.111304,0
0.636809,0.111576,0
0.638382,0.111846,0
0.639954,0.112116,0
0.641526,0.112384,0
0.643099,0.112652,0
0.644671,0.112918,0
0.646244,0.113182,0
0.647816,0.113446,0
0.649388,0.113708,0
0.650961,0.113968,0
0.652533,0.114226,0
0.654105,0.114482,0
0.655678,0.114737,0
0.65725,0.114989,0
0.658822,0.115239,0
0.660395,0.115487,0
0.661967,0.115732,0
0.66354,0.115975,0
0.665112,0.116215,0
0.666684,0.116453,0
0.668257,0.116687,0
0.669829,0.116919,0
0.671401,0.117148,0
0.672974,0.117373,0
0.674546,0.117598,0
0.676119,0.117822,0
0.677691,0.118045,0
0.679263,0.118267,0
0.680836,0.118488,0
0.682408,0.118708,0
0.68398,0.118927,0
0.685553,0.119144,0
0.687125,0.119359,0
0.688697,0.119573,0
0.69027,0.119785,0
0.691842,0.119995,0
0.693415,0.120203,0
0.694987,0.120409,0
0.696559,0.120613,0
0.698132,0.120814,0
0.699704,0.121012,0
0.701276,0.121208,0
0.702849,0.121401,0
0.704421,0.121591,0
0.705994,0.121778,0
0.707566,0.121962,0
0.709138,0.122142,0
0.710711,0.122319,0
0.712283,0.122492,0
0.713855,0.122662,0
0.715428,0.122827,0
0.717,0.122989,0
0.718572,0.123148,0
0.720145,0.123305,0
0.721717,0.123463,0
0.72329,0.123619,0
0.724862,0.123775,0
0.726434,0.123929,0
0.728007,0.124082,0
0.729579,0.124233,0
0.731151,0.124383,0
0.732724,0.12453,0
0.734296,0.124674,0
0.735869,0.124816,0
0.737441,0.124955,0
0.739013,0.12509,0
0.740586,0.125222,0
0.742158,0.125351,0
0.74373,0.125475,0
0.745303,0.125595,0
0.746875,0.125711,0
0.748447,0.125822,0
0.75002,0.125928,0
0.751592,0.126028,0
0.753165,0.126123,0
0.754737,0.126213,0
0.756309,0.126296,0
0.757882,0.126376,0
0.759454,0.126456,0
0.761026,0.126537,0
0.762599,0.126618,0
0.764171,0.126698,0
0.765744,0.126778,0
0.767316,0.126857,0
0.768888,0.126935,0
0.770461,0.127011,0
0.772033,0.127085,0
0.773605,0.127157,0
0.775178,0.127226,0
0.77675,0.127292,0
0.778323,0.127356,0
0.779895,0.127415,0
0.781467,0.127471,0
0.78304,0.127523,0
0.784612,0.12757,0
0.786184,0.127613,0
0.787757,0.127651,0
0.789329,0.127683,0
0.790901,0.127709,0
0.792474,0.12773,0
0.794046,0.127744,0
0.795619,0.127752,0
0.797191,0.127752,0
0.798763,0.12775,0
0.800336,0.127744,0
0.801908,0.127736,0
0.80348,0.127726,0
0.805053,0.127713,0
0.806625,0.127697,0
0.808198,0.127679,0
0.80977,0.127659,0
0.811342,0.127636,0
0.812915,0.127612,0
0.814487,0.127586,0
0.816059,0.127557,0
0.817632,0.127527,0
0.819204,0.127495,0
0.820776,0.127461,0
0.822349,0.127426,0
0.823921,0.12739,0
0.825494,0.127351,0
0.827066,0.127312,0
0.828638,0.127271,0
0.830211,0.12723,0
0.831783,0.127187,0
0.833355,0.127143,0
0.834928,0.127098,0
0.8365,0.127052,0
0.838073,0.127006,0
0.839645,0.126959,0
0.841217,0.126912,0
0.84279,0.126864,0
0.844362,0.126815,0
0.845934,0.126762,0
0.847507,0.126702,0
0.849079,0.126636,0
0.850651,0.126563,0
0.852224,0.126485,0
0.853796,0.126401,0
0.855369,0.126311,0
0.856941,0.126216,0
0.858513,0.126116,0
0.860086,0.12601,0
0.861658,0.1259,0
0.86323,0.125785,0
0.864803,0.125665,0
0.866375,0.125541,0
0.867948,0.125413,0
0.86952,0.125281,0
0.871092,0.125145,0
0.872665,0.125005,0
0.874237,0.124862,0
0.875809,0.124715,0
0.877382,0.124566,0
0.878954,0.124414,0
0.880526,0.124258,0
0.882099,0.124101,0
0.883671,0.123941,0
0.885244,0.123778,0
0.886816,0.123614,0
0.888388,0.123448,0
0.889961,0.12328,0
0.891533,0.123111,0
0.893105,0.12294,0
0.894678,0.122769,0
0.89625,0.122596,0
0.897823,0.122423,0
0.899395,0.122249,0
0.900967,0.122074,0
0.90254,0.1219,0
0.904112,0.121725,0
0.905684,0.121551,0
0.907257,0.121376,0
0.908829,0.121203,0
0.910401,0.121029,0
0.911974,0.120852,0
0.913546,0.120672,0
