# 20240725_151537
alpha,Df0Re,Df0Im
0,-0.100834,0
0.00157237,-0.100841,0
0.00314474,-0.100847,0
0.00471711,-0.100852,0
0.00628947,-0.100855,0
0.00786184,-0.100858,0
0.00943421,-0.10086,0
0.0110066,-0.100861,0
0.0125789,-0.100861,0
0.0141513,-0.100859,0
0.0157237,-0.100857,0
0.0172961,-0.100854,0
0.0188684,-0.10085,0
0.0204408,-0.100844,0
0.0220132,-0.100837,0
0.0235855,-0.100828,0
0.0251579,-0.100817,0
0.0267303,-0.100806,0
0.0283026,-0.100793,0
0.029875,-0.10078,0
0.0314474,-0.100766,0
0.0330197,-0.100752,0
0.0345921,-0.100737,0
0.0361645,-0.100722,0
0.0377368,-0.100708,0
0.0393092,-0.100693,0
0.0408816,-0.100677,0
0.042454,-0.100662,0
0.0440263,-0.100646,0
0.0455987,-0.10063,0
0.0471711,-0.100614,0
0.0487434,-0.100597,0
0.0503158,-0.10058,0
0.0518882,-0.100562,0
0.0534605,-0.100544,0
0.0550329,-0.100526,0
0.0566053,-0.100507,0
0.0581776,-0.100489,0
0.05975,-0.100471,0
0.0613224,-0.100452,0
0.0628947,-0.100434,0
0.0644671,-0.100415,0
0.0660395,-0.100396,0
0.0676119,-0.100377,0
0.0691842,-0.100358,0
0.0707566,-0.100339,0
0.072329,-0.100319,0
0.0739013,-0.1003,0
0.0754737,-0.100281,0
0.0770461,-0.100263,0
0.0786184,-0.100244,0
0.0801908,-0.100226,0
0.0817632,-0.100207,0
0.0833355,-0.100189,0
0.0849079,-0.10017,0
0.0864803,-0.100149,0
0.0880526,-0.100127,0
0.089625,-0.100105,0
0.0911974,-0.100081,0
0.0927698,-0.100057,0
0.0943421,-0.100032,0
0.0959145,-0.100005,0
0.0974869,-0.0999782,0
0.0990592,-0.0999499,0
0.100632,-0.0999207,0
0.102204,-0.0998904,0
0.103776,-0.099859,0
0.105349,-0.0998265,0
0.106921,-0.0997931,0
0.108493,-0.0997589,0
0.110066,-0.0997238,0
0.111638,-0.0996879,0
0.113211,-0.099651,0
0.114783,-0.0996133,0
0.116355,-0.0995746,0
0.117928,-0.099535,0
0.1195,-0.0994944,0
0.121072,-0.0994528,0
0.122645,-0.0994101,0
0.124217,-0.0993666,0
0.125789,-0.0993223,0
0.127362,-0.0992772,0
0.128934,-0.0992314,0
0.130507,-0.0991846,0
0.132079,-0.099137,0
0.133651,-0.0990885,0
0.135224,-0.0990391,0
0.136796,-0.0989888,0
0.138368,-0.0989376,0
0.139941,-0.0988853,0
0.141513,-0.0988322,0
0.143086,-0.0987784,0
